Title,Address,Phone,Mobile,Email,Website,LinkeIn,URL
Region Aachen Zweckverband,"Rotter Bruch 6, 52068 Aachen, Deutschland",,,,http://www.regionaachen.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/region-aachen-zweckverband/?elb=847.1100.4205.1.111&uls=2
THOST Projektmanagement GmbH,"Villinger Straße 6, 75179 Pforzheim, Deutschland",+49 7231 1560-0,,info@thost.de,http://www.thost.de,https://www.linkedin.com/company/2976368/admin/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/thost-projektmanagement-gmbh/?elb=847.1100.4733.1.111&uls=2
A³ Wirtschaftsraum Augsburg,"Karlstr. 2, 86150 Augsburg, Deutschland",,,willkommen@region-A3.com,http://www.region-A3.com,https://www.linkedin.com/company/regio-augsburg-wirtschaft-gmbh/mycompany/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/a-wirtschaftsraum-augsburg/?elb=847.1100.1599.1.111&uls=2
StädteRegion Aachen,"Zollernstr. 10, 52070 Aachen, Deutschland",+49 241 5198-2336,,wirtschaftsfoerderung@staedteregion-aachen.de,http://www.staedteregion-aachen.de,https://de.linkedin.com/company/st-dteregion-aachen,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/staedteregion-aachen/?elb=847.1100.2145.1.111&uls=2
5-StandorteProgramm,"Kronprinzenstr. 30, 45128 Essen, Deutschland",,,,https://www.business.ruhr/ueber-uns/projekte/5-standorteprogramm.html,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/5-standorteprogramm/?elb=847.1100.1650.3.111&uls=2
3D Estate,"Wyzwolenia 27, 43-190 Mikołów, Polen",,+48 883 288128,kontakt@3destate.pl,https://www.3destate.pl,https://www.linkedin.com/company/38145334/admin/feed/posts/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/3d-estate/?elb=847.1100.7736.1.111&uls=2
[AC] Aachener Immobilien Gesellschaft mbH,"Mies-van-der-Rohe-Str. 25, 52074 Aachen, Deutschland",+49 241 980980-0,,info@acimmobilien.de,http://www.acimmobilien.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/ac-aachener-immobilien-gesellschaft-mbh/?elb=847.1100.2543.1.111&uls=2
"""aachen1a - Drei Länder, ein Standort""","Theaterstraße 6-10, 52062 Aachen, Deutschland",+49 241 4460-266,+49 151 72771766,katrin.muellegans@aachen.ihk.de,http://www.1aachen.com,https://de.linkedin.com/company/ihk-aachen,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/und-34aachen1a-drei-laender-ein-standort-und-34/?elb=847.1100.2218.2.111&uls=2
6B47 Real Estate Investors AG,"Heiligenstädter Lände 29/3, 1190 Wien, Österreich",+43 664 5433700,,office@6B47.com,https://www.6b47.com,https://www.linkedin.com/company/6686649,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/6b47-real-estate-investors-ag/?elb=847.1100.2712.1.111&uls=2
Stadt Aachen,"Markt, 52058 Aachen, Deutschland",+49 241 432-7615,,wifoe@mail.aachen.de,http://www.aachen.de,https://www.linkedin.com/company/fachbereich-wirtschaft-wissenschaft-digitalisierung-und-europa/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/stadt-aachen/?elb=847.1100.4242.1.111&uls=2
21st Real Estate GmbH,"Sachsendamm 6, 10829 Berlin, Deutschland",,,,https://www.21re.de,,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/21st-real-estate-gmbh/?elb=847.1100.7830.1.111&uls=2
2XM baumanagement GmbH,"Spinnerei 1, 88239 Wangen, Deutschland",+49 7522 99987-0,,info@zweixm.de,https://www.zweixm.de,https://www.linkedin.com/company/2xm-baumanagement-gmbh,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/2xm-baumanagement-gmbh/?elb=847.1100.7788.1.111&uls=2
Achmea Real Estate,"MediArena 5-8, 1040 KH Amsterdam, Niederlande",,,,https://www.achmearealestate.nl,https://www.linkedin.com/company/304388,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/achmea-real-estate/?elb=847.1100.2736.1.111&uls=2
1000hands AG,"Joachimsthaler Straße 12, 10719 Berlin, Deutschland",+49 30 60984450,,info@1000hands.de,https://www.1000hands.de,https://www.linkedin.com/company/1000hands-ag/,https://exhibitors.exporeal.net/ausstellerverzeichnis/2024/aussteller/ausstellerdetails/1000hands-ag/?elb=847.1100.7336.1.111&uls=2
